IBOV,USD,PETR4,ABEV3,CMIG4,GGBR4,ITUB4,BBDC4,BBAS3,VALE3
94588.06,3.7915,27.44,17.5,14.31,14.95,32.75355,35.04,48.34,51.3
95923.24,3.7892,27.68,17.67,14.5,14.73,33.17373,35.89,49.31,51.92
95045.43,3.7757,27.6,17.72,14.29,14.6,33.22375,35.65,48.31,50.36
96552.03,3.7926,27.8,18.31,14.53,14.58,33.73396,36.07,49.1,50.33
96236.04,3.9075,27.25,18.29,14.5,14.37,33.81399,35.96,49.35,50.42
96187.75,3.9055,27.37,18.35,14.45,14.39,33.54388,35.49,49.37,50.25
96353.33,3.9075,27.11,18.47,14.74,14.15,33.84401,35.58,49.68,50.1
95527.62,3.8551,26.73,17.95,14.75,14,34.05409,35.6,49.79,48.94
96007.89,3.8764,26.85,17.92,14.47,14.23,33.72396,35.96,50.08,50.4
95008.66,3.99245,26.77,18.06,14.01,14.08,32.98365,34.99,49.37,49.66
94388.73,3.9013,26.35,17.65,13.91,14.22,32.6135,34.77,49.49,49.7
95596.61,3.9231,27.37,17.92,13.97,14.5,32.98365,35.49,50.59,49
94807.85,3.9231,26.83,17.49,13.89,14.24,32.57348,34.87,51.03,48.54
94257.56,3.92545,26.68,17.3,13.78,14.15,32.42342,34.56,50.16,49.46
91726.54,3.85205,25.9,17.01,13.23,13.81,31.91321,33.7,48.37,47.43
92092.44,3.8538,26,16.94,13.38,13.95,31.76314,33.6,47.9,47.59
91623.44,3.8698,25.88,16.61,13.08,13.92,31.86319,33.24,47.11,47.95
90024.47,3.8574,25.27,16.64,12.7,13.74,31.45302,32.85,45.64,46.4
89992.73,3.8753,24.68,16.49,12.49,13.74,31.51304,33.1,44.85,47.72
91946.19,3.8753,25.52,16.49,13.2,13.78,32.33338,34,46.57,46.75
94484.63,3.8755,26.49,17.09,13.89,14.29,33.5839,35.4,49.23,47.41
94360.66,3.8497,26.29,17.21,13.82,14.29,33.61391,34.77,48.82,47.46
93910.03,3.8497,25.84,17.21,13.73,13.95,33.54388,34.6,48.9,47.82
93627.8,3.8255,26.09,17.06,13.5,13.85,33.04368,34.26,49.62,48.31
94864.25,3.8573,26.24,17.22,13.71,13.82,33.16372,34.75,50.59,50.19
96392.76,3.8818,26.8,17.31,14,14.14,34.09411,35.71,51.25,50.25
96566.55,3.8758,26.5,17.26,14.3,14.05,34.73438,36.42,51.2,49.7
97457.36,3.881,26.15,17.43,14.6,13.95,35.09452,37.09,51.95,50.01
